Name,Website,Phone,City,State,Full.Address,Date.Verified,Lon,Lat
Planned Parenthood- Thousand Oaks Center,https://www.plannedparenthood.org/health-center/california/thousand-oaks/91320/thousand-oaks-center-3851-90170,(888) 898-3806,Thousand Oaks,California,"1200 W Hillcrest Dr, Thousand Oaks, California",4/11/17,-118.9283023,34.1865383
Planned Parenthood- Ukiah Health Center,https://www.plannedparenthood.org/health-center/california/ukiah/95482/ukiah-health-center-4034-90200,(707) 462-4303,Ukiah,California,"1165 S Dora St, Ukiah, California",4/11/17,-123.208919,39.1354374
Planned Parenthood- Vacaville Health Center,https://www.plannedparenthood.org/health-center/california/vacaville/95687/vacaville-health-center-2701-90200,(707) 317-2111,Vacaville,California,"600 Nut Tree Rd, Vacaville, California",4/11/17,-121.9495833,38.36138106
Planned Parenthood- Vallejo Health Center,https://www.plannedparenthood.org/health-center/california/vallejo/94590/vallejo-health-center-2699-90200,(707) 643-4545 ,Vallejo,California,"990 Broadway St, Vallejo, California",4/11/17,-122.2484034,38.1158308
Planned Parenthood- Van Nuys Health Center,https://www.plannedparenthood.org/health-center/california/van-nuys/91405/van-nuys-health-center-2234-90070,(800) 576-5544,Van Nuys,California,"7100 Van Nuys Blvd, Van Nuys, California",4/11/17,-118.448658,34.199492
Planned Parenthood- Ventura Health Center,https://www.plannedparenthood.org/health-center/california/ventura/93003/ventura-center-2251-90170,(888) 898-3806,Ventura,California,"5400 Ralston St, Ventura, California",4/11/17,-119.2179415,34.259521
Planned Parenthood- Victorville Health Center,https://www.plannedparenthood.org/health-center/california/victorville/92391/victorville-health-center-4082-90160,(760) 245-9500,Victorville,California,"15403 Park Ave E, Victorville, California",4/11/17,-117.3264234,34.5062983
Planned Parenthood- Vista Isabella Health Center,https://www.plannedparenthood.org/health-center/california/vista/92081/vista-isabella-health-center-4186-90110,(888) 743-7526,Vista,California,"1964 Via Centre, Vista, California",4/11/17,-117.2813149,33.18585936
Planned Parenthood- Walnut Creek Health Center,https://www.plannedparenthood.org/health-center/california/walnut-creek/94596/walnut-creek-health-center-2571-90200,(925) 935-3010 ,Walnut Creek,California,"1357 Oakland Blvd, Walnut Creek, California",4/11/17,-122.0702545,37.89782147
Planned Parenthood- Watsonville Health Center,https://www.plannedparenthood.org/health-center/california/watsonville/95076/watsonville-health-center-2229-90130,(831) 724-7525,Watsonville,California,"398 S Green Valley Rd, Watsonville, California",4/11/17,-121.776931,36.93039
Planned Parenthood- Westminister Health Center,https://www.plannedparenthood.org/health-center/california/westminster/92683/westminster-health-center-2285-90160,(714) 922-4100,Westminister,California,"14372 Beach Blvd, Westminister, California",4/11/17,-86.63692574,34.75772898
Planned Parenthood- Whittier Health Center,https://www.plannedparenthood.org/health-center/california/whittier/90602/whittier-health-center-2358-90070,(800) 576-5544,Whittier,California,"7655 Greenleaf Ave, Whittier, California",4/11/17,-118.0397886,33.963031
Planned Parenthood- Woodland Health Center,https://www.plannedparenthood.org/health-center/california/woodland/95695/woodland-health-center-2375-90130,(530) 662-4646,Woodland,California,"520 Cottonwood St, Woodland, California",4/11/17,-121.7934348,38.67537643
Planned Parenthood- Yuba City Health Center,https://www.plannedparenthood.org/health-center/california/yuba-city/95991/yuba-city-health-center-2374-90130,(530) 674-2603,Yuba City,California,"430 Palora Ave, Yuba City, California",4/11/17,-121.6334685,39.12819628
Stanford Family Planning,https://stanfordhealthcare.org/medical-clinics/family-planning.html?ecid=glocalsearch-ls-google-clinicpage-all-FamilyPlanning,650-725-6079,Palo Alto,California,"900 Blake Wilbur Dr, Palo Alto, California",4/11/17,-122.1774445,37.43551455
Women's Community Clinic,http://womenscommunityclinic.org/,(415) 379-7800,San Fransisco,California,"1833 Fillmore St, San Fransisco, California",4/11/17,-86.63692574,34.75772898
Women's First Choice,http://www.womansfirstchoice.com/,(626) 616-3768,Arcadia,California,"51 N 5th Ave, Arcadia, California",4/11/17,-86.63692574,34.75772898
Women's Health Specialists- Chico,https://www.womenshealthspecialists.org/,(530) 891-1911,Chico,California,"1469 Humboldt Rd, Chico, California",4/11/17,-121.8153945,39.73530771
Women's Health Specialists- Grass Valley,https://www.womenshealthspecialists.org/,(800) 714-8151,Grass Valley,California,"120 Richardson St, Grass Valley, California",4/11/17,-121.060323,39.220094
Women's Health Specialists- Redding,https://www.womenshealthspecialists.org/,(530) 221-0193,Redding,California,"1901 Victor Ave, Redding, California",4/11/17,-122.338476,40.578532
Boulder Abortion Clinic**,http://www.drhern.com/,(800) 535-1287 ,Boulder,Colorado,"1130 Alpine Ave, Boulder, Colorado",10/4/18,-105.2832996,40.0250893
Boulder Valley Abortion Clinic***,https://www.boulderwomenshealth.org/,(303) 442-5160 ,Boulder,Colorado,"2855 Valmont Rd, Boulder, Colorado",10/4/18,-105.2565719,40.0296454
Comprehensive Women's Health***,https://cwhccolorado.com/,720-810-5442,Central Denver,Colorado,"Denver, Colorado",10/4/18,-104.9848623,39.7392364
Healthy Futures for Women***,http://www.healthyfuturesforwomen.com/,303-991-7700,Englewood,Colorado,"300 E Hampden Ave., Englewood, Colorado",10/4/18,-104.9846447,39.65308053
Planned Parenthood- Alamosa Health Center*,https://www.plannedparenthood.org/health-center/colorado/alamosa/81101/alamosa-2153-90210,(719) 589-4906,Alamosa,Colorado,"1560 12th St, Alamosa, Colorado",10/4/18,-105.588224,37.4911435
Planned Parenthood- Aurora Health Center*,https://www.plannedparenthood.org/health-center/colorado/aurora/80012/aurora-2489-90210,(303) 671-7526 ,Aurora,Colorado,"1284 S Abilene St, Aurora, Colorado",10/4/18,-104.8259912,39.6974732
Planned Parenthood- Boulder Health Clinic*,https://www.plannedparenthood.org/health-center/colorado/boulder/80302/boulder-2488-90210,(303) 447-1040 ,Boulder,Colorado,"2525 Arapahoe Ave, Boulder, Colorado",10/4/18,-105.2626279,40.0151735
Planned Parenthood- Colorado Springs Westside***,https://www.plannedparenthood.org/health-center/colorado/colorado-springs/80907/colorado-springs-westside-3967-90210,(719) 475-7162 ,Colorado Springs,Colorado,"3480 Centennial Blvd, Colorado Springs, Colorado",10/4/18,-104.8490427,38.8808952
Planned Parenthood- Denver Stapleton Health Center***,https://www.plannedparenthood.org/health-center/colorado/denver/80207/denver-stapleton-3543-90210,(303) 321-2458,Denver,Colorado,"7155 E 38th Ave, Denver, Colorado",10/4/18,-104.9050232,39.76935655
Planned Parenthood- Durango Health Center***,https://www.plannedparenthood.org/health-center/colorado/durango/81303/durango-2174-90210,(970) 247-3002,Durango,Colorado,"46 Suttle St, Durango, Colorado",10/4/18,-107.8761034,37.24696
Planned Parenthood- Glenwood Springs Health Center*,https://www.plannedparenthood.org/health-center/colorado/glenwood-springs/81601/glenwood-springs-2172-90210,(970) 945-8631 ,Glenwood Springs,Colorado,"50923 Hwy 6, Glenwood Springs, Colorado",10/4/18,-107.3611122,39.5612545
Planned Parenthood- Greeley Health Center*,https://www.plannedparenthood.org/health-center/colorado/greeley/80634/greeley-2173-90210,(970) 352-4762 ,Greeley,Colorado,"3487B W 10th St, Greeley, Colorado",10/4/18,-86.63692574,34.75772898
Planned Parenthood- Littleton Health Center,https://www.plannedparenthood.org/health-center/colorado/littleton/80129/littleton-2485-90210,(303) 798-0963 ,Littleton,Colorado,"131 W County Line Rd, Littleton, Colorado",10/4/18,-104.989441,39.56620217
Planned Parenthood- Steamboat Springs Health Center*,https://www.plannedparenthood.org/health-center/colorado/steamboat-springs/80487/steamboat-springs-2168-90210,(970) 879-2212,Steamboat Springs,Colorado,"111 11th St, Steamboat Springs, Colorado",10/4/18,-106.8372263,40.48881622
Planned Parenthood- Fort Collins Surgical Center***,https://www.plannedparenthood.org/health-center/colorado/fort-collins/80521/fort-collins-surgical-center-2171-90210,(970) 484-8677,Fort Collins,Colorado,"825 South Shields St, Fort Collins, Colorado",4/11/17,-105.0964182,40.57539315
Hartford GYN Center,http://hartfordgyncenter.com/,(800) 877-6335,Hartford,Connecticut,"1 Main St., Hartford, Connecticut",4/12/17,-72.6765814,41.755622
Planned Parenthood- Bridgeport Health Center,https://www.plannedparenthood.org/health-center/connecticut/bridgeport/06604/bridgeport-center-2542-90220,(203) 366-0664 ,Bridgeport,Connecticut,"211 State Street, Bridgeport, Connecticut",1/24/17,-73.18982256,41.17643579
Planned Parenthood- Danbury Health Center,https://www.plannedparenthood.org/health-center/connecticut/danbury/06810/danbury-center-2539-90220,(203) 743-2446,Danbury,Connecticut,"44 Main Street, Danbury, Connecticut",4/12/17,-73.44621637,41.38798304
Planned Parenthood- Danielson Health Center,https://www.plannedparenthood.org/health-center/connecticut/danielson/06239/danielson-center-2218-90220,(860) 774-0533 ,Danielson,Connecticut,"87 Westcott Road, Danielson, Connecticut",1/24/17,-71.8598052,41.8044328
Planned Parenthood- Enfield Health Center,https://www.plannedparenthood.org/health-center/connecticut/enfield/06082/enfield-center-2219-90220,(860) 741-2197 ,Enfield,Connecticut,"111 Hazard Ave., Enfield, Connecticut",1/24/17,-72.56686095,41.98902117
Planned Parenthood- Hartford North Center,https://www.plannedparenthood.org/health-center/connecticut/hartford/06112/hartford-north-center-2220-90220,(860) 728-0203 ,Hartford,Connecticut,"1229 Albany Avenue, Hartford, Connecticut",1/24/17,-72.69721147,41.78217895
Planned Parenthood- Manchester Health Center,https://www.plannedparenthood.org/health-center/connecticut/manchester/06040/manchester-center-2221-90220,(860) 643-1607 ,Manchester,Connecticut,"319B Main Street, Manchester, Connecticut",1/24/17,-72.5225682,41.7822318
Planned Parenthood- Meriden Health Center,https://www.plannedparenthood.org/health-center/connecticut/meriden/06451/meriden-center-2543-90220,(203) 238-0542 ,Meriden,Connecticut,"26 Women's Way, Meriden, Connecticut",1/24/17,-86.63692574,34.75772898
Planned Parenthood- New Britain Center,https://www.plannedparenthood.org/health-center/connecticut/new-britain/06050/new-britain-center-2945-90220,(203) 238-0542 ,New Britain,Connecticut,"100 Grand St, New Britain, Connecticut",4/13/17,-72.78671157,41.66138145
Planned Parenthood- New Haven Center,https://www.plannedparenthood.org/health-center/connecticut/new-haven/06511/new-haven-center-3271-90220,(203) 503-0450 ,New Haven,Connecticut,"345 Whitney Ave, New Haven, Connecticut",1/24/17,-72.9182729,41.3198926
Planned Parenthood- New London Health Center,https://www.plannedparenthood.org/health-center/connecticut/new-london/06320/new-london-center-2223-90220,(860) 443-5820 ,New London,Connecticut,"45 Franklin Street, New London, Connecticut",1/24/17,-72.10198737,41.35513055
Planned Parenthood- Norwich Health Center,https://www.plannedparenthood.org/health-center/connecticut/norwich/06360/norwich-center-2217-90220,(860) 889-5211 ,Norwich,Connecticut,"12 Case Street, Norwich, Connecticut",1/24/17,-72.10350291,41.55358599
Planned Parenthood- Old Saybrook Center,https://www.plannedparenthood.org/health-center/connecticut/old-saybrook/06475/old-saybrook-center-2225-90220,(860) 388-4459 ,Old Saybrook,Connecticut,"263 Main Street, Old Saybrook, Connecticut",1/24/17,-72.37601439,41.28943964
Planned Parenthood- Stamford Health Center,https://www.plannedparenthood.org/health-center/connecticut/stamford/06902/stamford-center-2536-90220,(203) 327-2722 ,Stamford,Connecticut,"35 Sixth Street, Stamford, Connecticut",1/24/17,-86.63692574,34.75772898
Planned Parenthood- Torrington Health Center,https://www.plannedparenthood.org/health-center/connecticut/torrington/06790/torrington-center-2222-90220,(860) 489-5500 ,Torrington,Connecticut,"249 Winsted Road, Torrington, Connecticut",1/24/17,-73.11692619,41.82349514
Planned Parenthood- Waterbury Health Center,https://www.plannedparenthood.org/health-center/connecticut/waterbury/06708/waterbury-center-2540-90220,(203) 753-2119 ,Waterbury,Connecticut,"969 W Main Street, Waterbury, Connecticut",1/24/17,-73.0573422,41.5566168
Planned Parenthood- West Hartford Health Center,https://www.plannedparenthood.org/health-center/connecticut/west-hartford/06110/west-hartford-center-2216-90220,(860) 953-6201 ,Hartford,Connecticut,"1030 New Britain Ave, Hartford, Connecticut",1/24/17,-72.72398925,41.72986579
Planned Parenthood- Willimantic Health Center,https://www.plannedparenthood.org/health-center/connecticut/willimantic/06226/willimantic-center-2224-90220,(860) 423-8426 ,Willimantic,Connecticut,"1548 W Main Street, Willimantic, Connecticut",1/24/17,-72.2362006,41.7189243
Planned Parenthood- Dover Health Center***,https://www.plannedparenthood.org/health-center/delaware/dover/19901/dover-center-2896-90240,(302) 678-5200 ,Dover,Delaware,"805 S Governors Ave, Dover, Delaware",1/26/18,-75.52510847,39.14673346
Planned Parenthood- Wilmington Health Center***,https://www.plannedparenthood.org/health-center/delaware/wilmington/19801/wilmington-center-(de)-3272-90240,(302) 655-7293,Wilmington,Delaware,"625 N Shipley Street, Wilmington, Delaware",1/26/18,-75.55079283,39.74240655
Planned Parenthood- Carol Whitehill Moses Center,https://www.plannedparenthood.org/health-center/district-of-columbia/washington/20002/carol-whitehill-moses-center-4221-90230,(202) 347-8500 ,Washington D.C.,Washington D.C.,"1225 4th St. NE, Washington D.C., Washington D.C.",4/14/17,-77.00025652,38.90626915
Washington Surgi-Center,http://www.washingtonsurgi-clinic.com/,(202) 659-9403,Washington D.C.,Washington D.C.,"2112 F St NW, Washington D.C., Washington D.C.",4/14/17,-77.0472891,38.897199
Aastra Women's Center,http://www.aastrawomenscenter.com/,(954) 792-9198 ,Plantation,Florida,"10 SW 44th Ave, Plantation, Florida",2/1/17,-80.20642086,26.120554
A Woman's Care,http://www.awomanscare.com/,(305) 947-0885,Miami,Florida,"68 NE 167th St, Miami, Florida",2/1/17,-80.1992052,25.9278383
A Woman's Choice of Jacksonville,https://ajacksonvillewomenshealth.com/,(800) 298-8874 ,Jacksonville,Florida,"4131 University Blvd S, Jacksonville, Florida",4/14/17,-81.5999845,30.2821683
All Women's Health Center of Clearwater,http://www.floridaabortion.com/locations/clearwater.shtml,1-800-827-0082 ,Clearwater,Florida,"28960 US Hwy 19, Clearwater, Florida",3/23/17,-86.63692574,34.75772898
All Women's Health Center Inc.- Saint Petersburg,http://www.floridaabortion.com/locations/stpetersburg.shtml,1-800-736-6656 ,St. Petersburg,Florida,"4131 Central Ave, St. Petersburg, Florida",2/1/17,-82.68939158,27.77101325
All Women's Health Center of Gainesville,http://www.floridaabortion.com/locations/gainesville.shtml,1-800-869-0440 ,Gainesville,Florida,"1135 NW 23rd Ave, Gainesville, Florida",3/2/17,-82.33631591,29.67390485
All Women's Health Center of Jacksonville,http://www.floridaabortion.com/locations/jacksonville.shtml,1-800-733-2755,Jacksonville,Florida,"1545 Huffingham Rd, Jacksonville, Florida",2/1/17,-81.6000887,30.2936614
All Women's Health Center of North Tampa,http://www.floridaabortion.com/locations/tampaN.shtml,1-800-733-7907,Tampa,Florida,"14498 University Cove Pl, Tampa, Florida",4/14/17,-86.63692574,34.75772898
All Women's Health Center of Orlando,http://www.floridaabortion.com/locations/orlando.shtml,1-800- 203-2135 ,Orlando,Florida,"1800 Pembrook Dr, Orlando, Florida",2/1/17,-81.4016597,28.6320749
All Women's Health Center of Orlando Inc.,http://www.floridaabortion.com/locations/altamontesprings.shtml,1-888-257-2262 ,Altamonte Springs,Florida,"431 Maitland Ave, Altamonte Springs, Florida",2/1/17,-81.36581707,28.6562661
All Women's Health Center of Sarasota,http://www.floridaabortion.com/locations/sarasota.shtml,1-800-347-7066 ,Sarasota,Florida,"2700 S Tamiami Trail, Sarasota, Florida",4/14/17,-82.4892703,27.1931808
All Women's Health Center of Tampa,http://www.floridaabortion.com/locations/tampa.shtml,1-800-736-0505 ,Tampa,Florida,"3330 W Kennedy Blvd, Tampa, Florida",4/14/17,-82.4826539,27.9447447
American Family Planning of Penascola,http://www.abortionpensacola.com/,850-478-9660,Penascola,Florida,"6115 Village Oaks Dr, Penascola, Florida",2/1/17,-86.63692574,34.75772898
A Woman's World Medical Center,http://www.awwmc.com/,1-800-226-1506 ,Fort Pierce,Florida,"503 S 12th St, Fort Pierce, Florida",4/11/17,-80.335156,27.443013
Bread and Roses Women's Health Center,http://www.breadroses.com/,(844) 490-2660,Gainesville,Florida,"1233 NW 10th Ave, Gainesville, Florida",2/1/17,-82.3378679,29.66116059
EPOC Abortion Clinic,http://www.womenscenter.com/epoc_clinic.html,(877) 376-2227 ,Orlando,Florida,"609 Virginia Dr, Orlando, Florida",3/23/17,-81.369597,28.56414871
Eve Women's Medical Center- Kendall Plaza,http://www.eveabortioncarespecialists.com/,(305) 670-9797 ,Miami,Florida,"8603 S Dixie Hwy, Miami, Florida",2/1/17,-80.3060794,25.6902481
Eve Women's Medical Center- 79th Ave,http://www.eveabortioncarespecialists.com/,(305) 591-2288 ,Miami,Florida,"3900 NW 79th Ave, Miami, Florida",2/1/17,-80.3264614,25.8105503
Fort Lauderdale Abortion Clinic,http://www.womenscenter.com/fort_lauderdale_womens_center.html,(877) 966-3673,For Lauderdale ,Florida,"2001 W Oakland Park Blvd, Fort Lauderdale, Florida",2/1/17,-80.16287793,26.1663082
Fort Meyers Women's Health Center,https://www.floridaabortion.com/locations/ftmyers.shtml,(239) 936-4494 ,Fort Meyers,Florida,"3900 Broadway, Fort Meyers, Florida",2/1/17,-86.63692574,34.75772898
Lakeland Women's Health Center,http://www.floridaabortion.com/locations/lakeland.shtml,1-800-733-7541 ,Lakeland,Florida,"4444 Florida Ave S, Lakeland, Florida",3/2/17,-86.63692574,34.75772898
"Michael Benjamin, MD BSSI",http://drbenjamin.com/,(954) 720-7777 ,Pompano Beach,Florida,"7777 N University Dr, Pompano Beach, Florida",3/2/17,-86.63692574,34.75772898
North Florida Women's Health,http://aboutabortion.org/,(850) 877-3183 ,Tallahassee,Florida,"1345 Cross Creek Way, Tallahassee, Florida",2/1/17,-84.23632062,30.43239297
Ocala Women's Center,http://www.womenscenter.com/ocala_womens_center.html,(877) 622-5234 ,Ocala,Florida,"108 N Pine Ave, Ocala, Florida",3/23/17,-82.14020064,29.18535414
Office of Dr. Phillip F Waterman II MD FACOG,http://www.philipwatermanmd.com/,(239) 574-8200 ,Cape Coral,Florida,"650 Del Prado Blvd, Cape Coral, Florida",3/2/17,-81.9408703,26.6212738
Orlando Women's Center/ Abortion Clinic,http://www.womenscenter.com/orlando_womens_center.html,(877) 692-2273 ,Orlando,Florida,"1103 Lucerne Terrace, Orlando, Florida",3/23/17,-81.38061789,28.52895984
Planned Parenthood- Boca Raton Health Center,https://www.plannedparenthood.org/health-center/florida/boca-raton/33434/boca-raton-health-center-3863-90320,(561) 226-4116 ,Boca Raton,Florida,"8177 Glades Rd., Boca Raton, Florida",1/30/17,-80.1725122,26.369285
Planned Parenthood- Ft. Myers Health Center,https://www.plannedparenthood.org/health-center/florida/ft.-myers/33919/fort-myers-health-center-2505-90300,(239) 481-9999,Fort Myers,Florida,"8595 College Parkway, Fort Myers, Florida",1/30/17,-81.88946612,26.55119025
Planned Parenthood- Jacksonville Health Center,https://www.plannedparenthood.org/health-center/florida/jacksonville/32217/jacksonville-health-center-3278-90320,(904) 399-2800 ,Jacksonville,Florida,"5978 Powers Avenue, Jacksonville, Florida",1/30/17,-81.6218326,30.2623572
Planned Parenthood- Kissimmee Health Center,https://www.plannedparenthood.org/health-center/florida/kissimmee/34741/kissimmee-health-center-4144-90300,(407) 246-1788 ,Kissimmee,Florida,"610 Oak Commons Blvd., Kissimmee, Florida",1/30/17,-81.41079044,28.30216225
Planned Parenthood- Golden Glades-Miami Health Center,https://www.plannedparenthood.org/health-center/florida/miami/33169/golden-glades-miami-health-center-4183-90320,(305) 830-4111 ,Miami,Florida,"585 N.W. 161 St, Miami, Florida",1/30/17,-86.63692574,34.75772898
Planned Parenthood- Jean Shehan Health Center,https://www.plannedparenthood.org/health-center/florida/miami/33145/jean-shehan-health-center-3369-90320,(305) 285-5535 ,Miami,Florida,"3119A Coral Way, Miami, Florida",1/30/17,-80.2552121,25.749726
Planned Parenthood- Naples Health Center,https://www.plannedparenthood.org/health-center/florida/naples/34103/naples-center-3294-90300,(239) 262-0301,Naples,Florida,"1425 Creech Road, Naples, Florida",1/30/17,-81.79372471,26.18217805
Planned Parenthood- Downtown Orlando Health Center,https://www.plannedparenthood.org/health-center/florida/orlando/32805/downtown-orlando-health-center-3275-90300,(407) 246-1788,Orlando,Florida,"726 South Tampa Ave, Orlando, Florida",1/30/17,-86.63692574,34.75772898
Planned Parenthood- Pembroke Pines Health Center,https://www.plannedparenthood.org/health-center/florida/pembroke-pines/33024/pembroke-pines-health-center-3917-90320,(954) 989-5747 ,Pembroke Pines,Florida,"263 North University Drive, Pembroke Pines, Florida",1/30/17,-80.24799545,26.01088103
Planned Parenthood- Sarasota Health Center,https://www.plannedparenthood.org/health-center/florida/sarasota/34236/sarasota-health-center-2189-90300,(941) 953-4060 ,Sarasota,Florida,"736 Central Avenue, Sarasota, Florida",1/30/17,-82.542586,27.34285167
Planned Parenthood- Martin County Health Center,https://www.plannedparenthood.org/health-center/florida/stuart/34994/martin-county-health-center-2269-90320,(772) 692-2023,Stuart,Florida,"1322 NW Federal Hwy., Emerald Plaza, Stuart, Florida",1/30/17,-86.63692574,34.75772898
Planned Parenthood- Tampa Health Center,https://www.plannedparenthood.org/health-center/florida/tampa/33617/tampa-health-center-2247-90300,(813) 980-3555 ,Tampa,Florida,"8068 North 56th Street, Tampa, Florida",1/30/17,-82.3935841,28.0691402
Planned Parenthood- Wellington Health Center,https://www.plannedparenthood.org/health-center/florida/wellington/33414/wellington-health-center-4066-90320,(561) 296-4919 ,Wellington,Florida,"10111 Forest Hill Blvd, Wellington, Florida",1/30/17,-80.20587022,26.65070662
Presidential Women's Center,https://presidentialcenter.com/,(800) 273-3047,West Palm Beach,Florida,"100 Northpoint Pkwy, West Palm Beach, Florida",2/1/17,-80.100036,26.760521
Southwest Florida Women's Clinic,http://www.swflwomensclinic.com/,(239) 995-1111 ,Fort Myers,Florida,"710 Pondella Rd , Fort Myers, Florida",2/1/17,-81.90711787,26.66734305
University of Miami-Department of Obstetrics & Gynecology- Reproductive Health Services Clinic,http://obgyn.med.miami.edu/reproductive-health,(305) 243-2984 ,Miami,Florida,"1400 NW 12th Ave, Miami, Florida",3/23/17,-80.2163433,25.78841925
Venice Woman's Health Center: Azima Ali MD,http://www.swflwomensclinic.com/home,(941) 629-3646 ,Port Charlotte,Florida,"21178 Olean Blvd, Port Charlotte, Florida",2/1/17,-82.10041629,26.98660192
Woman's Health Centers- Bread and Roses Health Center,http://www.tampabayabortionclinics.com/,(727) 446-2690 ,Clearwater,Florida,"1560 S Highland Ave, Clearwater, Florida",4/14/17,-82.77511576,27.93983789
Woman's Health Centers- St. Petersburg Health Center,http://www.tampabayabortionclinics.com/,(727) 381-6620,St. Petersburg,Florida,"3401 66th St N, St. Petersburg, Florida",4/14/17,-82.728492,27.805385
Woman's Health Centers- Tampa Health Center,http://www.tampabayabortionclinics.com/,(813) 977-6176 ,Tampa,Florida,"2010 E Fletcher Ave, Tampa, Florida",2/1/17,-82.3767576,28.0691834
Women and Teens Healthcare,https://womenandteens.com/,(305) 895-5555,North Miami Beach,Florida,"16876 NE 19th Ave, North Miami Beach, Florida",4/14/17,-80.1624938,25.9311956
Women's Center of Hyde Park/ Tampa Abortion Clinic,http://www.womenscenter.com/womens_center_hyde_park.html,(855) 214-9964,Tampa,Florida,"502 S Magnolia Ave, Tampa, Florida",3/23/17,-82.46572618,27.93955231
A Preferred Women's Health- Atlanta***,http://www.apwhc.com/,(404) 758-9900,Atlanta,Georgia,"519 Forest Parkway, Atlanta, Georgia",10/4/18,-86.63692574,34.75772898
A Preferred Women's Health- Augusta***,http://www.apwhc.com/,(706) 228-4545,Augusta,Georgia,"2903 Professional Parkway, Augusta, Georgia",10/4/18,-82.08053855,33.50081111
Atlanta Women's Center***,http://atlantawomensmedicalcenter.com/,(800) 877-6332,Atlanta,Georgia,"235 West Wieuca Road, Atlanta, Georgia",10/4/18,-86.63692574,34.75772898
Columbus Women's Health Organization***,http://columbuswomenshealth.com/,(706) 323-8363,Columbus,Georgia,"3850 Rosemont Drive, Columbus, Georgia",10/4/18,-84.95975893,32.50122639
Dunwoody Women's Medical Group***,http://www.dunwoodywomensmedicalgroup.com/,(800) 586-9790,Atlanta,Georgia,"3114 Mercer University Drive , Atlanta, Georgia",10/4/18,-86.63692574,34.75772898
Feminist Women's Health Center***,https://www.feministcenter.org/abortion-care/,(800) 877-6013,Atlanta,Georgia,"1924 Cliff Valley Way NE, Atlanta, Georgia",10/4/18,-86.63692574,34.75772898
Planned Parenthood- Gwinett Health Center*,https://www.plannedparenthood.org/health-center/georgia/lawrenceville/30043/gwinnett-center-2271-90330,(404) 688-9300 ,Lawrenceville,Georgia,"798 Lawrenceville Suwanee Road, Lawrenceville, Georgia",10/4/18,-84.0189207,33.9578542
Planned Parenthood- Cobb Health Center*,https://www.plannedparenthood.org/health-center/georgia/marietta/30062/cobb-center-2270-90330,(404) 688-9300,Marietta,Georgia,"220 Cobb Parkway North, Marietta, Georgia",10/4/18,-84.5226736,33.9560693
Savannah Medical Clinic***,http://savannahmedicalclinic.com/,(800) 247-4424 ,Savannah,Georgia,"120 W 34th St, Savannah, Georgia",10/4/18,-81.10058998,32.06008808
Summit Medical Associates- Atlanta***,https://www.summitcenters.com/atlanta-abortion-clinic/,(800) 537-2985,Atlanta,Georgia,"1874 Piedmont Ave NE, Atlanta, Georgia",10/4/18,-84.3665246,33.8077075
Planned Parenthood- Honolulu Health Center,https://www.plannedparenthood.org/health-center/hawaii/honolulu/96814/honolulu-health-center-2951-91810,(808) 589-1149,Honolulu,Hawaii,"1350 S. King Street, Honolulu, Hawaii",3/9/17,-157.8410756,21.29885203
Planned Parenthood- Maui Health Center,https://www.plannedparenthood.org/health-center/hawaii/kahului/96732/maui-health-center-2950-91810,(808) 871-1176,Maui,Hawaii,"140 Hoohana Street, Maui, Hawaii",3/9/17,-156.4640133,20.88810094
Planned Parenthood- Boise Health Center*,https://www.plannedparenthood.org/health-center/idaho/boise/83703/boise-health-center-2939-91810,(800) 769-0045 ,Boise,Idaho,"3668 N. Harbor Lane, Boise, Idaho",1/9/18,-116.2549859,43.6530597
Planned Parenthood- Meridian Health Center***,https://www.plannedparenthood.org/health-center/idaho/meridian/83642/meridian-health-center-4105-91810,(800) 769-0045 ,Meridian,Idaho,"2112 East Franklin Road, Meridian, Idaho",1/9/18,-116.3678714,43.6052443
Planned Parenthood- Twin Falls Health Center*,https://www.plannedparenthood.org/health-center/idaho/twin-falls/83301/twin-falls-health-center-2938-91810,(800) 769-0045 ,Twin Falls,Idaho,"200 Second Ave N., Twin Falls, Idaho",1/9/18,-86.63692574,34.75772898
Aanchor Health Center,http://www.aanchorhealthcenter.com/,(888) 910-4400,Glen Ellyn,Illinois,"1186 Roosevelt Road, Glen Ellyn, Illinois",3/21/17,-88.03404933,41.85973233
Access Health Clinic,http://www.accesshealthcenter.net/,(800) 403-3033 ,Downers Grove,Illinois,"1700 75th Street, Downers Grove, Illinois",3/21/17,-88.0234361,41.75102278
Advantage Health Care Ltd.,http://advantagehealthcareltd.com/,(888) 795-1515,Wood Dale,Illinois,"203 W Irving Park Rd, Wood Dale, Illinois",3/21/17,-87.98476918,41.96423368
American Women's Medical Group- Chicago (Western Avenue),http://www.americanwomensmedicalcenter.com/,(773) 772-7726 ,Chicago,Illinois,"2744 N Western Ave, Chicago, Illinois",3/21/17,-87.6882784,41.931557
American Women's Medical Center (35th Street),http://www.americanwomensmedicalcenter.com/,(800) 722-2636,Chicago,Illinois,"736 W 35th St, Chicago, Illinois",4/11/17,-87.64510899,41.83101395
American Women's Medical Center- Des Plaines,http://www.americanwomensmedicalcenter.com/,(847) 294-9614 ,Des Plaines,Illinois,"110 S River Rd, Des Plaines, Illinois",3/21/17,-87.88668566,42.05066217
